rate,intercept,x1,x2,y1,y2,displacement,duration,trajectory
-1.3,-126.0,0.0,22.25,-126.1,-154.4,-28.3,22.25,39.0
27.4,-549.0,22.25,26.0,61.9,164.8,102.9,3.75,39.0
-16.4,361.0,26.0,34.5,-65.8,-205.5,-139.7,8.5,39.0
76.8,-2905.0,34.5,40.25,-253.9,187.9,441.8,5.75,39.0
-48.1,2158.0,40.25,50.0,222.4,-246.6,-469.0,9.75,39.0
7.4,-475.0,50.0,80.0,-102.4,121.0,223.4,30.0,39.0
-82.1,6729.0,80.0,82.75,160.6,-65.2,-225.8,2.75,39.0
18.8,-1668.0,82.75,96.25,-109.0,145.4,254.3,13.5,39.0
2.1,-183.0,96.25,146.25,23.3,130.6,107.3,50.0,39.0
3.0,-406.0,146.25,183.5,32.6,144.3,111.7,37.25,39.0
-5.9,1306.0,183.5,192.5,218.2,164.8,-53.4,9.0,39.0
12.2,-2288.0,192.5,206.25,69.8,238.2,168.4,13.75,39.0
0.6,-83.0,206.25,260.25,32.9,63.2,30.3,54.0,39.0
-3.3,991.0,260.25,300.25,129.6,-2.7,-132.4,40.0,39.0
1.7,-394.0,300.25,358.0,109.0,205.8,96.8,57.75,39.0
2.1,-668.0,358.0,413.5,93.4,211.5,118.1,55.5,39.0
-0.8,471.0,413.5,455.25,159.0,127.5,-31.5,41.75,39.0
-0.9,637.0,455.25,521.25,220.7,160.4,-60.3,66.0,39.0
-5.3,3038.0,521.25,543.25,293.5,177.6,-115.8,22.0,39.0
9.8,-5214.0,543.25,555.5,101.2,221.0,119.8,12.25,39.0
189.9,-105351.0,555.5,568.25,122.9,2543.8,2420.9,12.75,39.0
256.9,-143471.0,568.25,573.25,2500.2,3784.6,1284.4,5.0,39.0
113.8,-61394.0,573.25,580.25,3845.9,4642.5,796.7,7.0,39.0
230.9,-129371.0,580.25,588.0,4621.3,6410.9,1789.6,7.75,39.0
-11.5,13365.0,588.0,591.25,6594.2,6556.7,-37.4,3.25,39.0
87.4,-45257.0,591.25,596.5,6419.2,6878.1,458.9,5.25,39.0
8.8,1299.0,596.5,603.5,6524.7,6586.0,61.3,7.0,39.0
-95.0,64077.0,603.5,605.25,6752.4,6586.2,-166.2,1.75,39.0
72.9,-37809.0,605.25,609.75,6306.3,6634.3,328.0,4.5,39.0
10.6,85.0,609.75,618.75,6519.7,6614.7,95.0,9.0,39.0
-6.6,10833.0,618.75,665.25,6730.2,6421.9,-308.3,46.5,39.0
53.4,-29262.0,665.25,673.75,6237.6,6691.2,453.6,8.5,39.0
42.1,-21928.0,673.75,679.5,6461.8,6704.1,242.3,5.75,39.0
-220.9,156883.0,679.5,681.5,6753.1,6311.2,-441.9,2.0,39.0
1.2,5612.0,681.5,686.0,6422.0,6427.3,5.3,4.5,39.0
-3.2,8841.0,686.0,700.25,6628.6,6582.6,-46.0,14.25,39.0
4.3,3714.0,700.25,710.5,6758.1,6802.7,44.6,10.25,39.0
6.6,1941.0,710.5,724.0,6628.0,6717.0,89.0,13.5,39.0
